user_id,fecha_evento,tipo_evento,dispositivo
1,2023-02-06,login,Android
1,2023-01-25,compra,Android
1,2024-03-27,compra,Web
1,2023-02-03,login,Android
1,2023-04-29,compra,Web
1,2023-05-13,compra,Web
1,2023-04-25,login,Web
2,2023-01-11,login,Android
2,2023-02-26,login,Web
2,2023-08-03,login,Web
3,2023-12-19,login,Android
3,2023-05-13,login,iOS
3,2024-05-23,login,Web
3,2024-02-21,cancelacion,Android
3,2024-04-20,login,Android
4,2024-08-18,login,Android
4,2024-04-08,login,Android
5,2024-05-09,login,Android
5,2023-04-16,compra,iOS
5,2024-01-10,compra,Web
5,2023-11-10,login,iOS
5,2024-05-02,login,iOS
6,2024-07-16,login,iOS
6,2024-01-14,login,Web
6,2023-11-18,login,Web
6,2023-10-18,compra,iOS
6,2024-06-10,login,Web
6,2023-01-18,compra,Web
7,2023-03-01,cancelacion,Web
8,2023-12-13,login,iOS
8,2024-06-26,login,Web
8,2023-04-04,login,iOS
8,2023-10-03,compra,iOS
8,2024-06-27,login,Android
8,2024-04-13,login,iOS
9,2023-08-25,compra,Android
9,2023-11-27,login,Android
9,2024-03-16,login,iOS
9,2023-04-19,compra,Android
10,2023-06-09,compra,Android
10,2023-11-24,login,iOS
10,2024-02-21,compra,Android
11,2024-03-03,login,Android
11,2024-03-15,login,Android
11,2023-04-07,login,Web
11,2024-05-25,compra,Android
11,2023-10-08,compra,iOS
12,2023-10-29,compra,Web
12,2024-02-27,login,Android
12,2024-05-30,login,Android
12,2024-01-10,compra,Android
12,2023-10-12,compra,iOS
12,2024-01-12,compra,Web
12,2024-05-11,login,Web
12,2024-07-19,login,iOS
12,2023-09-22,login,iOS
12,2024-03-07,login,Android
13,2024-07-11,compra,Android
13,2024-04-30,login,iOS
13,2024-03-06,login,iOS
13,2023-11-12,cancelacion,Web
13,2024-05-20,compra,iOS
13,2023-03-03,login,Web
13,2023-12-02,compra,Web
14,2024-06-06,login,Web
14,2023-04-18,compra,iOS
14,2023-09-14,compra,Android
14,2023-11-18,cancelacion,Android
15,2023-12-30,login,Web
15,2024-06-19,login,iOS
15,2023-03-12,compra,Android
15,2023-03-22,login,iOS
15,2023-05-12,compra,Web
15,2023-07-30,compra,iOS
16,2024-03-16,cancelacion,iOS
16,2023-01-15,login,iOS
16,2024-03-08,login,Web
16,2023-10-03,login,Android
16,2024-06-16,compra,Android
16,2023-03-09,login,iOS
16,2023-05-27,cancelacion,Web
16,2024-07-23,login,iOS
17,2023-12-21,login,iOS
17,2023-10-02,login,Android
17,2023-01-02,login,iOS
17,2024-06-23,login,Android
17,2023-03-11,login,iOS
17,2024-01-26,login,Android
18,2023-04-22,login,Web
18,2024-01-11,login,iOS
18,2023-06-24,login,Web
18,2023-04-23,login,Web
18,2023-08-31,login,Web
19,2024-05-16,login,Android
19,2023-03-24,login,Web
