pago_id,user_id,fecha_pago,monto,metodo_pago,fraude
1,3387,2024-01-11,25.44,Tarjeta Crédito,0
2,3892,2023-07-05,18.53,Tarjeta Crédito,0
3,2743,2023-06-28,35.9,Tarjeta Crédito,0
4,2935,2023-09-07,0.3,Tarjeta Crédito,0
5,3972,2024-06-05,1.48,Débito,0
6,1366,2023-05-16,8.92,Crypto,0
7,3652,2023-01-12,100.8,Tarjeta Crédito,0
8,3086,2023-08-20,6.88,Tarjeta Crédito,0
9,262,2024-01-06,27.85,PayPal,0
10,1771,2024-01-17,18.68,Tarjeta Crédito,0
11,2440,2023-10-21,12.85,Tarjeta Crédito,0
12,4223,2023-09-28,69.2,Tarjeta Crédito,0
13,1882,2024-02-14,12.13,Tarjeta Crédito,0
14,859,2024-03-28,32.72,Tarjeta Crédito,0
15,3231,2023-03-05,103.78,Débito,0
16,4239,2023-06-15,88.67,Débito,0
17,3247,2024-06-12,28.69,Tarjeta Crédito,0
18,4313,2023-09-21,10.84,Tarjeta Crédito,0
19,3722,2024-07-31,298.17,Tarjeta Crédito,0
20,2278,2023-10-20,63.26,Tarjeta Crédito,0
21,4409,2024-05-31,45.39,Débito,0
22,4088,2023-09-03,38.91,Débito,0
23,1786,2024-06-08,19.1,Tarjeta Crédito,0
24,2613,2023-05-16,9.96,Débito,0
25,1472,2024-05-24,186.67,Débito,0
26,2283,2023-12-06,11.47,Débito,0
27,2643,2023-05-24,77.62,Tarjeta Crédito,1
28,1946,2023-03-10,39.43,PayPal,0
29,2084,2024-02-17,41.26,Tarjeta Crédito,0
30,2170,2023-11-16,13.45,Tarjeta Crédito,0
31,1130,2024-08-14,35.79,Tarjeta Crédito,0
32,2624,2024-04-20,20.62,Débito,0
33,1967,2023-04-07,102.59,Débito,0
34,759,2023-04-11,35.7,Tarjeta Crédito,0
35,2669,2023-07-31,66.52,PayPal,0
36,1685,2023-03-20,10.85,Tarjeta Crédito,0
37,3417,2023-05-22,28.29,PayPal,0
38,4561,2024-02-21,12.51,Débito,0
39,3692,2024-06-23,27.4,Débito,1
40,4108,2024-07-04,25.49,Débito,0
41,910,2024-02-03,59.1,Débito,0
