user_id,pais,fecha_registro,canal_adquisicion
1,México,2022-07-24,Orgánico
2,Colombia,2023-12-03,Orgánico
3,Perú,2023-03-03,Referido
4,Perú,2022-03-16,Facebook
5,Colombia,2022-06-12,Referido
6,Chile,2022-05-10,Referido
7,México,2022-06-17,Facebook
8,Chile,2022-10-16,Referido
9,Perú,2023-11-27,Facebook
10,Colombia,2024-01-12,Facebook
11,Colombia,2024-02-16,Referido
12,Argentina,2022-06-17,Orgánico
13,Colombia,2023-02-10,Orgánico
14,Chile,2023-06-16,Google Ads
15,Argentina,2023-07-18,Orgánico
16,Chile,2023-07-17,Referido
17,Perú,2023-06-24,Referido
18,Chile,2022-10-27,Google Ads
19,Colombia,2022-02-04,Google Ads
20,Chile,2024-03-08,Google Ads
21,Chile,2022-01-31,Referido
22,Argentina,2023-12-07,Orgánico
23,Chile,2022-05-17,Referido
24,Colombia,2023-03-21,Referido
25,Perú,2023-06-23,Google Ads
26,Chile,2022-09-27,Referido
27,Argentina,2023-08-17,Facebook
28,Argentina,2023-08-26,Google Ads
29,Argentina,2022-08-04,Referido
30,Argentina,2023-10-17,Facebook
31,Chile,2022-04-28,Orgánico
32,México,2023-03-11,Referido
33,Argentina,2022-01-15,Facebook
34,Colombia,2023-10-01,Referido
35,México,2022-09-02,Facebook
36,Perú,2022-09-03,Referido
37,Chile,2022-08-12,Google Ads
38,Colombia,2022-03-23,Facebook
39,Perú,2023-01-05,Facebook
40,Argentina,2023-05-18,Referido
41,México,2022-01-17,Orgánico
42,Chile,2023-02-25,Referido
43,Colombia,2023-10-15,Facebook
44,Colombia,2023-02-24,Facebook
45,Colombia,2023-10-07,Orgánico
46,México,2023-06-29,Referido
47,Chile,2023-10-03,Referido
48,Argentina,2022-03-09,Orgánico
49,México,2023-06-22,Orgánico
50,Chile,2023-06-05,Referido
51,Colombia,2023-10-15,Referido
52,México,2022-05-21,Orgánico
53,Argentina,2023-10-20,Facebook
54,Perú,2022-08-23,Facebook
55,Perú,2022-09-25,Referido
56,Perú,2022-12-01,Orgánico
57,Perú,2022-07-17,Google Ads
58,Argentina,2023-06-27,Orgánico
59,Chile,2022-02-02,Referido
60,México,2022-10-03,Orgánico
61,Chile,2023-06-27,Google Ads
62,Colombia,2023-04-21,Facebook
63,Perú,2022-08-11,Orgánico
64,México,2023-08-28,Google Ads
65,Chile,2022-10-08,Referido
66,México,2023-08-31,Facebook
67,Colombia,2022-05-16,Referido
68,Perú,2022-10-04,Google Ads
69,Colombia,2022-09-05,Referido
70,Argentina,2024-01-02,Referido
71,Colombia,2022-01-10,Referido
72,México,2022-12-04,Google Ads
73,México,2023-05-04,Referido
74,Colombia,2023-03-13,Facebook
75,Colombia,2023-08-04,Facebook
76,Colombia,2023-05-28,Referido
77,Chile,2023-04-17,Referido
78,Chile,2022-12-24,Orgánico
79,Argentina,2022-04-02,Orgánico
80,Perú,2022-04-17,Referido
81,Chile,2022-03-03,Facebook
82,Colombia,2022-10-03,Orgánico
83,Colombia,2023-11-19,Google Ads
84,Argentina,2022-01-11,Facebook
85,Argentina,2023-07-03,Orgánico
86,Argentina,2022-08-17,Orgánico
87,Colombia,2023-04-25,Orgánico
88,Perú,2022-09-26,Facebook
89,Chile,2023-07-12,Referido
90,Argentina,2023-07-17,Referido
91,Colombia,2022-07-23,Facebook
92,Chile,2023-02-02,Facebook
93,Argentina,2023-06-17,Facebook
94,Chile,2022-08-09,Google Ads
95,Colombia,2022-06-02,Facebook
96,México,2023-02-12,Orgánico
97,Perú,2023-05-17,Google Ads
98,México,2023-09-28,Google Ads
99,México,2023-05-09,Orgánico
100,Argentina,2023-10-18,Facebook
101,Argentina,2022-04-26,Referido
102,Argentina,2023-06-15,Referido
103,Perú,2023-04-06,Orgánico
104,Argentina,2022-08-09,Google Ads
105,Colombia,2022-09-29,Google Ads
106,Chile,2024-01-04,Facebook
107,Argentina,2023-12-31,Google Ads
108,Perú,2022-09-30,Facebook
109,Argentina,2022-05-05,Google Ads
110,Perú,2023-04-19,Facebook
111,Colombia,2022-02-26,Referido
112,Chile,2023-04-05,Referido
113,Chile,2022-10-30,Referido
114,Colombia,2023-03-24,Orgánico
115,Argentina,2022-09-10,Google Ads
116,México,2023-03-24,Facebook
117,Colombia,2022-05-28,Facebook
118,Colombia,2022-12-24,Orgánico
119,México,2022-11-21,Orgánico
120,Argentina,2023-10-08,Referido
121,Perú,2022-07-21,Facebook
122,Chile,2022-09-07,Google Ads
123,Colombia,2024-01-06,Facebook
124,Chile,2023-08-28,Google Ads
125,Colombia,2023-04-27,Facebook
126,Chile,2024-02-10,Referido
127,México,2023-12-21,Orgánico
128,Colombia,2023-06-20,Orgánico
129,Chile,2022-01-20,Referido
130,Chile,2022-06-28,Facebook
131,Colombia,2022-09-07,Facebook
132,Colombia,2022-01-09,Orgánico
133,Colombia,2023-04-19,Google Ads
134,Colombia,2023-06-22,Google Ads
135,Colombia,2022-07-29,Orgánico
136,Argentina,2023-05-30,Referido
137,Colombia,2023-06-19,Orgánico
138,Perú,2023-07-25,Facebook
139,Perú,2023-12-11,Google Ads
140,Chile,2024-02-27,Orgánico
141,Chile,2022-02-20,Facebook
142,Colombia,2023-07-31,Orgánico
143,Perú,2022-12-01,Orgánico
144,Perú,2022-04-26,Referido
145,Chile,2024-02-09,Google Ads
146,Argentina,2023-02-27,Google Ads
147,Argentina,2024-01-11,Google Ads
148,Perú,2023-12-25,Referido
149,Chile,2023-09-19,Facebook
150,Argentina,2022-12-16,Google Ads
151,Colombia,2023-10-16,Referido
152,Argentina,2023-09-12,Facebook
153,Perú,2022-10-24,Orgánico
154,Chile,2022-06-04,Orgánico
155,Perú,2022-03-23,Facebook
156,Perú,2024-01-29,Orgánico
157,México,2024-01-26,Facebook
158,Perú,2023-08-03,Referido
159,Colombia,2022-12-09,Google Ads
160,Colombia,2023-09-07,Google Ads
161,Colombia,2022-12-28,Referido
162,Perú,2023-07-15,Referido
163,Chile,2024-01-23,Facebook
164,Chile,2022-07-22,Facebook
165,Colombia,2022-04-29,Referido
166,Chile,2023-10-14,Orgánico
167,Colombia,2022-03-04,Referido
168,Chile,2022-01-05,Google Ads
169,Argentina,2023-06-15,Referido
170,Colombia,2023-12-15,Facebook
171,Perú,2022-02-04,Referido
172,Chile,2023-01-16,Facebook
173,Perú,2022-11-06,Facebook
174,Chile,2023-04-07,Google Ads
175,Colombia,2022-02-10,Referido
176,Chile,2024-01-11,Orgánico
177,Argentina,2023-06-29,Orgánico
178,México,2023-01-16,Google Ads
179,Colombia,2023-12-24,Orgánico
180,Chile,2023-04-06,Facebook
181,México,2023-09-06,Facebook
182,Colombia,2022-01-10,Facebook
183,Colombia,2023-07-06,Orgánico
184,México,2023-01-15,Google Ads
185,Perú,2023-04-01,Facebook
186,México,2023-05-07,Orgánico
187,Colombia,2022-09-22,Referido
188,México,2023-02-26,Orgánico
189,Chile,2022-08-08,Referido
190,Perú,2022-04-02,Referido
191,Colombia,2023-05-30,Facebook
192,México,2022-02-01,Referido
193,Chile,2023-10-15,Facebook
194,México,2023-07-24,Facebook
195,Perú,2023-03-04,Google Ads
196,Colombia,2022-03-03,Facebook
197,Argentina,2024-01-17,Orgánico
198,Argentina,2024-03-07,Orgánico
199,Chile,2022-06-13,Google Ads
200,México,2023-02-19,Orgánico
201,Argentina,2022-04-23,Facebook
202,Perú,2022-12-21,Orgánico
203,Chile,2023-05-27,Facebook
204,Perú,2022-05-02,Orgánico
205,Argentina,2023-09-20,Orgánico
206,Chile,2022-10-26,Google Ads
207,Colombia,2022-08-28,Facebook
208,Chile,2023-10-26,Referido
209,Perú,2022-10-21,Referido
210,Chile,2023-02-02,Google Ads
211,Colombia,2022-05-11,Facebook
212,Colombia,2022-08-19,Google Ads
213,Chile,2022-01-19,Referido
214,México,2023-05-18,Referido
215,Argentina,2022-02-26,Facebook
